angle,N,N_unc,W,W_unc,N_in_1173_1332,N_in_1173_1332_unc,N_in_1332_1173,N_in_1332_1173_unc
90.0,5527,74.34379597518544,1.0,0.0,2837,53.2634959423431,2690,51.86520991955976
105.0,5426,73.66138744281159,0.9817260720101321,0.018761702348855835,2723,52.182372502598994,2703,51.99038372622383
115.0,5672,75.31268153505093,1.026234847114167,0.019396507403794668,2874,53.60970061472084,2798,52.896124621752776
125.0,5727,75.67694497005016,1.0361859960195405,0.01953812348436077,2959,54.396691075836586,2768,52.61178575186362
135.0,5795,76.12489737267302,1.0484892346661843,0.019713062487029403,3007,54.83611948342078,2788,52.80151512977634
145.0,5841,76.42643521714199,1.0568120137506785,0.019831311611654582,3015,54.909015653169384,2826,53.16013544000805
155.0,5711,75.57115851963631,1.0332911163379772,0.019496937391732333,2899,53.842362503887216,2812,53.028294334251406
165.0,5873,76.6355009117837,1.0626017731138049,0.019913528924347088,3063,55.344376408086845,2810,53.009433122794285
180.0,6076,77.9487010796203,1.0993305590736384,0.020434303142571934,3144,56.07138307550475,2932,54.147945482723536
