angle,N,N_unc,N_norm,N_unc_norm
90.0,20283,142.41839768793918,0.339078538232639,0.002380861909257066
105.0,20589,143.4886755113448,0.34419405530107994,0.0023987541460989137
115.0,20662,143.7428259079388,0.3454144237520479,0.002403002873849657
125.0,19671,140.25334220616634,0.32884750409575714,0.0023446678626193843
135.0,20244,142.28141129465928,0.3384265605670534,0.002378571856208153
145.0,20274,142.38679714074615,0.3389280818482731,0.0023803336310265497
155.0,20060,141.63332941084172,0.33535056337557256,0.0023677376276512374
165.0,20653,143.71151658792,0.34526396736768195,0.0024024794641733255
180.0,20524,143.26199775236978,0.3431074258584373,0.0023949646887620746
