angle,N,N_unc,N_norm,N_unc_norm
90.0,21691,147.27864746798838,0.36206579979635783,0.0024583726563285713
105.0,20543,143.32829448507368,0.3429034034953012,0.002392433432123282
115.0,21467,146.5162107072115,0.3583267956400541,0.0024456460750006096
125.0,20305,142.4956139675885,0.3389307115792285,0.002378534343213682
135.0,20071,141.67215675636479,0.33502478759451837,0.0023647892095739337
145.0,20074,141.6827441857335,0.3350748635430403,0.0023649659347632825
155.0,19942,141.2161463856028,0.33287152180807555,0.0023571774922900197
165.0,20377,142.74802975873257,0.3401325343437547,0.0023827476632681662
180.0,19975,141.3329402510257,0.33342235724181674,0.002359127013487551
